provider,source,voice,utterance,utterance_slug,take,conversation_id,channel,recorded_utc,track,transcript,path,sample_rate,source_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited,source_file,utterance_source
ElevenLabs,elevenlabs,AnnaClone,"Hey, can you hear me?",hey-can-you-hear-me,1,conv_7801m1h9tmmnf2wsgq9gx385d27p,agent,2026-09-02 14:54:32+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_AnnaClone_hey-can-you-hear-me_take1.wav,16000,16000,1.908,1.7,2.7,0.17,0.038,-17.52,-23.0,-5.48,-7.95,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Hey, can you hear me?",hey-can-you-hear-me,2,conv_1001m1h9ttfwf4gv0m9cqhmtvqr8,agent,2026-09-02 14:54:38+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_AnnaClone_hey-can-you-hear-me_take2.wav,16000,16000,1.836,1.72,2.72,0.11,0.006,-18.05,-23.0,-4.95,-6.82,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Hey, can you hear me?",hey-can-you-hear-me,3,conv_6401m1h9ty7hfeyt3k5wnw2c5ge6,agent,2026-09-02 14:54:42+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_AnnaClone_hey-can-you-hear-me_take3.wav,16000,16000,1.404,1.334,2.334,0.07,0.0,-22.69,-23.0,-0.31,-7.19,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Hey, how are you?",hey-how-are-you,1,conv_8501m1h56a5pf2ps1gxy9yzbxwdt,agent,2026-09-02 13:33:32+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_AnnaClone_hey-how-are-you_take1.wav,16000,16000,1.692,1.52,2.52,0.17,0.002,-14.78,-23.0,-8.22,-10.33,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Hey, how are you?",hey-how-are-you,2,conv_3601m1h56ggeewktnsdhjb212sgc,agent,2026-09-02 13:33:38+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_AnnaClone_hey-how-are-you_take2.wav,16000,16000,1.836,1.726,2.726,0.11,0.0,-16.51,-23.0,-6.49,-10.07,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Hey, how are you?",hey-how-are-you,3,conv_7201m1h56p19f9qv8bkzq158qt40,agent,2026-09-02 13:33:44+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_AnnaClone_hey-how-are-you_take3.wav,16000,16000,1.944,1.834,2.834,0.11,0.0,-21.99,-23.0,-1.01,-10.28,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,1,conv_0201m1h5sjr2fxwt82hf477mk1ve,agent,2026-09-02 13:44:03+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_AnnaClone_just-reading-the-instructions-i_take1.wav,16000,16000,4.032,3.902,4.902,0.13,0.0,-24.14,-23.0,1.14,-5.38,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,2,conv_5601m1h5stzqez3az15spwb38qew,agent,2026-09-02 13:44:12+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_AnnaClone_just-reading-the-instructions-i_take2.wav,16000,16000,4.176,4.06,5.06,0.11,0.006,-21.39,-23.0,-1.61,-6.07,lufs,False,,
ElevenLabs,elevenlabs,AnnaClone,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,3,conv_2401m1h5t1mcfwf91jms06zq0qm3,agent,2026-09-02 13:44:18+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_AnnaClone_just-reading-the-instructions-i_take3.wav,16000,16000,3.708,3.598,4.598,0.11,0.0,-22.19,-23.0,-0.81,-5.7,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Hey, can you hear me?",hey-can-you-hear-me,1,conv_8001m1h9xv5semvtfyw4zsn8pyt1,agent,2026-09-02 14:56:17+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_hey-can-you-hear-me_take1.wav,16000,16000,1.368,1.0,2.0,0.17,0.198,-20.69,-23.0,-2.31,-6.65,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Hey, can you hear me?",hey-can-you-hear-me,2,conv_7701m1h9y2twfq5aa5fqfnbf7prr,agent,2026-09-02 14:56:25+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_hey-can-you-hear-me_take2.wav,16000,16000,1.404,1.0,2.0,0.21,0.194,-18.15,-23.0,-4.85,-6.35,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Hey, can you hear me?",hey-can-you-hear-me,3,conv_2301m1h9y730fsktr5sfe8qq08f6,agent,2026-09-02 14:56:29+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_hey-can-you-hear-me_take3.wav,16000,16000,1.404,0.96,1.96,0.23,0.214,-22.62,-23.0,-0.38,-4.72,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Hey, how are you?",hey-how-are-you,1,conv_1601m1h5a6tpe76ayx57h09k5ws5,agent,2026-09-02 13:35:39+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_hey-how-are-you_take1.wav,16000,16000,1.584,1.2,2.2,0.13,0.254,-14.91,-23.0,-8.09,-9.16,lufs,False,,
