voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
Meera,"Hey, can you hear me?",1,conv_5701m0w2s5ybfmmacmtznyrrebm6,2026-08-25 09:07:21+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/Meera_hey-can-you-hear-me_take1.wav,16000,2.052,1.6,2.6,0.19,0.262,-17.43,-23.0,-5.57,-9.19,lufs,False
Meera,"Hey, can you hear me?",2,conv_8101m0w3cy6ve5wab42d0eqbxyfv,2026-08-25 09:18:09+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/Meera_hey-can-you-hear-me_take2.wav,16000,2.052,1.5,2.5,0.29,0.262,-14.29,-23.0,-8.71,-9.48,lufs,False
Meera,"Hey, can you hear me?",3,conv_4001m0w3dgese8bteadtf164gncf,2026-08-25 09:18:27+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/Meera_hey-can-you-hear-me_take3.wav,16000,1.944,1.54,2.54,0.21,0.194,-15.81,-23.0,-7.19,-8.46,lufs,False
Meera,"Hey, how are you?",1,conv_7701m0w3vhm1e0fbreq63ng3v297,2026-08-25 09:26:07+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/Meera_hey-how-are-you_take1.wav,16000,2.556,1.92,2.92,0.29,0.346,-13.75,-23.0,-9.25,-10.66,lufs,False
Meera,"Hey, how are you?",2,conv_1601m0w3vvyrf9zspgmz6174fz1n,2026-08-25 09:26:18+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/Meera_hey-how-are-you_take2.wav,16000,1.908,1.38,2.38,0.33,0.198,-11.21,-23.0,-11.79,-12.44,lufs,False
Meera,"Hey, how are you?",3,conv_3501m0w3w5pmf8m97fe2krm9ac08,2026-08-25 09:26:28+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/Meera_hey-how-are-you_take3.wav,16000,2.196,1.64,2.64,0.29,0.266,-14.92,-23.0,-8.08,-9.72,lufs,False
Meera,"Just reading the instructions, I think I am the interviewer for this chat.",1,conv_1201m0w3z2s5ev68jffmpjsa020a,2026-08-25 09:28:03+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/Meera_just-reading-the-instructions-i_take1.wav,16000,4.428,4.06,5.06,0.25,0.118,-21.25,-23.0,-1.75,-5.05,lufs,False
Meera,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_2901m0w400v5fp4a0qgfwrrdyctx,2026-08-25 09:28:34+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/Meera_just-reading-the-instructions-i_take2.wav,16000,4.392,3.94,4.94,0.29,0.162,-19.65,-23.0,-3.35,-5.43,lufs,False
Meera,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_0801m0w42ny0frmbn4mdg1w8s6dy,2026-08-25 09:30:01+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/Meera_just-reading-the-instructions-i_take3.wav,16000,3.492,3.04,4.04,0.25,0.202,-18.05,-23.0,-4.95,-6.18,lufs,False
Prince,"Hey, can you hear me?",1,conv_4401m0w4nadpe2rvfm2s7w0f3ttr,2026-08-25 09:40:12+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/Prince_hey-can-you-hear-me_take1.wav,16000,1.512,0.98,1.98,0.37,0.162,-18.09,-23.0,-4.91,-6.86,lufs,False
